date,amount,feeling,food,location,accompaniment,time_period,phone
2016-05-01-03-14-09,1,HUNGARY,Candy_Bar,HOME,MEAL,MORNING,15555215554
2016-05-01-03-14-31,1,THIRSTY,Donuts,WORK,FAMILY_MEAL,NOON,15555215554
2016-05-01-03-15-09,0,NULL,NULL,NULL,NULL,NULL,15555215554
2016-05-01-03-15-18,1,HUNGARY,Fruit,HOME,MEAL,MORNING,15555215554
2016-05-01-03-15-31,0,NULL,NULL,NULL,NULL,NULL,15555215554
2016-05-01-03-15-37,2,THIRSTY,Donuts,HOME,MEAL,NOON,15555215554
2016-05-01-03-16-00,3,EXHAUSTED,Donuts,HOME,MEAL,MORNING,15555215554
2016-05-01-03-16-09,0,NULL,NULL,NULL,NULL,NULL,15555215554
2016-05-01-03-16-18,0,NULL,NULL,NULL,NULL,NULL,15555215554
2016-05-01-03-16-31,0,NULL,NULL,NULL,NULL,NULL,15555215554
2016-05-01-03-16-37,0,NULL,NULL,NULL,NULL,NULL,15555215554
2016-05-01-18-07-09,3,EXHAUSTED,Donuts,ON_THE_GO,COLLEAGUE,NIGHT,15555215554
2016-05-01-21-18-52,1,HUNGARY,Donuts,WORK,ALONE,MORNING,15555215554
2016-05-01-21-19-52,0,NULL,NULL,NULL,NULL,NULL,15555215554
2016-05-01-21-20-52,0,NULL,NULL,NULL,NULL,NULL,15555215554
2016-05-01-21-21-52,0,NULL,NULL,NULL,NULL,NULL,15555215554
2016-05-02-02-17-32,2,HUNGARY,Candy_Bar,HOME,ALONE,MORNING,15555215554
2016-05-02-02-17-49,1,HUNGARY,Candy_Bar,HOME,ALONE,MORNING,15555215554
2016-05-02-02-18-10,1,HUNGARY,Candy_Bar,HOME,ALONE,MORNING,15555215554
2016-05-02-02-18-32,0,NULL,NULL,NULL,NULL,NULL,15555215554
2016-05-02-02-18-34,1,HUNGARY,Candy_Bar,HOME,ALONE,MORNING,15555215554
2016-05-02-02-18-49,0,NULL,NULL,NULL,NULL,NULL,15555215554
2016-05-02-02-19-02,3,HUNGARY,Candy_Bar,HOME,ALONE,NOON,15555215554
2016-05-02-02-19-11,0,NULL,NULL,NULL,NULL,NULL,15555215554
2016-05-02-02-19-32,0,NULL,NULL,NULL,NULL,NULL,15555215554
2016-05-02-02-19-34,0,NULL,NULL,NULL,NULL,NULL,15555215554
2016-05-02-02-19-49,0,NULL,NULL,NULL,NULL,NULL,15555215554
2016-05-02-02-20-02,0,NULL,NULL,NULL,NULL,NULL,15555215554
2016-05-02-02-28-15,1,HUNGARY,Candy_Bar,HOME,FAMILY,MORNING,15555215554
2016-05-02-02-28-33,4,EXHAUSTED,Candy_Bar,ON_THE_GO,COLLEAGUE,NIGHT,15555215554
2016-05-02-02-28-49,4,HUNGARY,Candy_Bar,WORK,ALONE,NOON,15555215554
2016-05-02-02-29-10,2,EXHAUSTED,Candy_Bar,ON_THE_GO,COLLEAGUE,MORNING,15555215554
2016-05-02-02-29-34,4,EXHAUSTED,Donuts,HOME,COLLEAGUE,NIGHT,15555215554
2016-05-02-02-42-07,3,EXHAUSTED,Soda,ON_THE_GO,COLLEAGUE,NIGHT,15555215554
2016-05-02-02-42-36,2,EXHAUSTED,Soda,ON_THE_GO,ALONE,NIGHT,15555215554
2016-05-02-02-42-53,4,EXHAUSTED,Soda,ON_THE_GO,COLLEAGUE,NIGHT,15555215554
2016-05-02-02-43-09,4,EXHAUSTED,Soda,ON_THE_GO,COLLEAGUE,NIGHT,15555215554
2016-05-02-02-43-25,3,EXHAUSTED,Soda,ON_THE_GO,COLLEAGUE,NIGHT,15555215554
2016-05-02-02-45-44,3,EXHAUSTED,Candy_Bar,ON_THE_GO,COLLEAGUE,NIGHT,15555215554
